word,reading,meaning,partOfSpeech
"すらり","すらり","（身材）高挑，苗条；（进展）顺利","副"
"ちらっと・ちらりと","ちらり","（稍微看到）一闪，一晃；（稍微听到）略微，偶尔","副"
"ほくほく","ほくほく","（白薯等）松软热乎状；（无法掩饰的）开心状","副・自動3"
"ほっそり","ほっそり","纤细；苗条","副・自動3"
"緩々","ゆるゆる","（衣服等）宽松；（花时间）慢慢做……","ナ形・副"
"字引","字引","字典，辞书","名"
"蒸し蒸し","蒸し蒸し","闷热","副"
"推す","推す","推测；推荐","他動1"
"露","露","露水；短暂，无常","名"
"お礼","お礼","感谢，谢意","名"
"畏まる","かしこまる","恭敬，拘谨；知道了","自動1"
"かたかた","かたかた","（坚硬的物体相互碰撞发出的轻微声音）咔嗒咔嗒","副"
"がりがり","がりがり","咬碎、弄碎（坚硬的物体）①；忘我地（学习、工作等）①；骨瘦如柴⓪","副・ナ形"
"くにゃくにゃ","ぐにゃぐにゃ","（柔软的物体因无力而）扭曲、弯曲状；（性格、态度等）软弱","副①・自動3①・ナ形⓪"
"しゃきしゃき","しゃきしゃき","（咀嚼爽脆的食物的）清脆声；（做事）利落","副・自動3"
"じりじり","じりじり","逐步（逼近）；焦急；赤日炎炎","名・自動3"
"すぱすぱ","すぱすぱ","（啪啪地）吸烟状；切东西时连续快切状；（做事）干脆、利落","副"
"ずらずら","ずらずら","（人或物）很多地排列状","副"
"するする","するする","顺当地，无阻碍地；滑溜地","副"
"たらたら","たらたら","（水滴、汗滴等）滴滴答答地滴落；喋喋不休，牢骚满腹","副"
"ちょきちょき","ちょきちょき","（用剪子剪东西时的声音）咔嚓咔嚓","副"
"とろとろ","とろとろ","（物体融化后的）黏稠状⓪；（火势）弱小①；打盹⓪","副・自動3"
"にやり","にやり","（一个人自己）傻笑一下","副"
"ぱくぱく","ぱくぱく","（金鱼等）嘴一张一合状；（心脏）咚咚地跳；大吃特吃","副・自動3"
"ばたばた","ばたばた","（物体快速连续剧烈碰撞的声音）吧嗒吧嗒；（一路小跑时发出的声音）吧嗒吧嗒；相继倒下","副・自動3"
